ADDRESS,INC1,INC2,INC3,INC4,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,ObjectId
1600 BLOCK S 48TH ST,5222,0,0,0,99,C3-043144,1506,5/21/2023,SUN,5/21/2023,1506,,,1506,0,0,11219
N 21ST ST / P ST UNDER THE BRI,5222,0,0,0,10,C3-043145,1536,5/21/2023,SUN,5/21/2023,1531,SUN,5/21/2023,1536,0,0,11220
3400 BLOCK PORTIA ST,25211,0,0,0,82,C3-043151,1435,5/21/2023,,5/21/2023,200,,,1435,0,0,11221
CITY OF LINCOLN,17100,0,0,0,99,C3-042712,853,5/20/2023,FRI,2/17/2023,1,THU,3/23/2023,853,0,0,11222
2200 BLOCK W Q ST,5222,9300,42000,0,84,C3-043153,1604,5/21/2023,SUN,5/21/2023,800,SUN,5/21/2023,1604,0,10,11223
1500 BLOCK S 9TH ST,23900,0,0,0,1,C3-043165,1435,5/21/2023,FRI,5/19/2023,1640,FRI,5/19/2023,1435,0,0,11224
16000 BLOCK S 48TH ST,25111,0,0,0,97,C3-043166,1607,5/21/2023,,5/21/2023,1000,,,1607,0,0,11225
7100 BLOCK S 91ST ST,5222,0,0,0,84,C3-043168,1700,5/21/2023,SUN,5/21/2023,1530,SUN,5/21/2023,1700,0,0,11226
CITY OF LINCOLN,17100,0,0,0,99,C3-042713,854,5/20/2023,FRI,2/17/2023,1,THU,5/18/2023,854,0,0,11227
100 BLOCK S 9TH ST,42000,0,0,0,28,C3-043178,1716,5/21/2023,WED,5/10/2023,0,SUN,5/21/2023,1716,0,200,11228
2200 BLOCK W Q ST,5222,0,0,0,84,C3-042714,856,5/20/2023,SAT,5/20/2023,840,SAT,5/20/2023,856,0,0,11229
4600 BLOCK TIPPERARY TRL,25211,0,0,0,80,C3-043179,1650,5/21/2023,,5/21/2023,1623,,,1650,0,0,11230
6500 BLOCK WHITEWATER LN,9522,0,0,0,80,C3-042718,903,5/20/2023,SAT,5/20/2023,800,SAT,5/20/2023,903,0,0,11231
8400 BLOCK ANDERMATT DR,29300,0,0,0,17,C3-043180,1728,5/21/2023,SUN,5/21/2023,1529,SUN,5/21/2023,1728,0,0,11232
2700 BLOCK N 1ST ST,25211,0,0,0,83,C3-042722,915,5/20/2023,,5/19/2023,1200,,,915,0,0,11233
8400 BLOCK ANDERMATT DR,29300,0,0,0,17,C3-043181,1728,5/21/2023,THU,4/20/2023,1230,SUN,5/21/2023,1728,0,0,11234
7200 BLOCK OXFORD RD,5222,23400,0,0,80,C3-043186,1717,5/21/2023,SUN,5/21/2023,1500,SUN,5/21/2023,1717,0,0,11235
400 BLOCK STEINWAY RD,25211,0,0,0,80,C3-042181,1821,5/18/2023,,5/18/2023,1821,,,1821,0,0,11236
4400 BLOCK BALDWIN AVE,42000,0,0,0,83,C3-043293,200,5/22/2023,MON,5/22/2023,150,MON,5/22/2023,200,0,600,11237
2200 BLOCK S 16TH ST,42100,0,0,0,97,C3-042355,852,5/19/2023,THU,5/18/2023,2200,FRI,5/19/2023,852,0,5,11238
500 BLOCK N 23RD ST,41000,0,0,0,80,C3-042723,908,5/20/2023,SAT,5/20/2023,711,SAT,5/20/2023,908,0,0,11239
