VDAT,AGE,RACE,SEX,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
2019/01/02 00:00:00+00,36,W,M,154,LB620159,1,B9-000237,Q,N 12,N 9,12041,DUI-.15+ (1 PRIOR CONV),C,117
2019/01/02 00:00:00+00,36,W,M,154,LB620159,2,B9-000237,Q,N 12,N 9,2112,NEGLIGENT DRIVING,C,118
2019/01/01 00:00:00+00,27,W,F,127,LB572673,1,B9-000034,SUN VALLEY,W O,-,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,119
2019/01/01 00:00:00+00,27,W,F,127,LB572673,2,B9-000034,SUN VALLEY,W O,-,2112,NEGLIGENT DRIVING,C,120
2019/01/02 00:00:00+00,22,W,M,911,LB620462,1,,ADAMS,N 5,N 1,1683,VIOLATE SPEED LIMIT 6 - 10 OVER,C,121
2019/01/02 00:00:00+00,22,W,M,911,LB620462,2,,ADAMS,N 5,N 1,1556,OCCUPANT PROTECTION SYSTEM,C,122
2019/01/02 00:00:00+00,23,W,F,1056,LB618677,1,,N 14,PENNSYLVANIA,FLETCHER,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,123
2019/01/02 00:00:00+00,39,W,M,1117,LB618678,1,,SUPERIOR,N 1,I180,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,124
2019/01/02 00:00:00+00,45,B,M,1023,LB620466,1,,ADAMS,N 9,N 6,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,125
2019/01/02 00:00:00+00,45,B,M,1023,LB620466,2,,ADAMS,N 9,N 6,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,126
2019/01/02 00:00:00+00,60,W,F,954,LB620465,1,,N 1,IRVING,SUPERIOR,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,127
2018/12/28 00:00:00+00,30,W,M,227,LB616387,1,B8-119609,S 27,GARFIELD,A,1898,"SUSPENDED LICENSE, ELIGIBLE",C,128
2019/01/02 00:00:00+00,18,W,M,938,LB620464,1,,N 1,OREGON TRAIL,ADAMS,1685,VIOLATE SPEED LIMIT 16 - 20 OVER,C,129
2019/01/02 00:00:00+00,18,W,M,938,LB620464,2,,N 1,OREGON TRAIL,ADAMS,2229,OPERATE A MTR VEH W/O LICENSE ON PERSON,C,130
2019/01/02 00:00:00+00,62,W,F,922,LB620463,1,,ADAMS,N 5,N 1,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,131
2018/12/30 00:00:00+00,30,H,M,1747,LB620391,1,,N 1,ADAMS,-,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,132
2019/01/02 00:00:00+00,31,W,M,1358,LB620469,1,,VINE,N 57,N 59,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,133
2019/01/02 00:00:00+00,42,W,M,1345,LB620468,1,,VINE,N 57,N 59,1683,VIOLATE SPEED LIMIT 6 - 10 OVER,C,134
2019/01/02 00:00:00+00,24,W,M,1041,LB620467,1,,ADAMS,N 9,N 10,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,135
2019/01/02 00:00:00+00,22,W,F,1214,LB620012,1,,S 34,OLD CHENEY,ORWELL,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,136
2019/01/02 00:00:00+00,49,W,M,738,LB618756,1,,PIONEERS,LUCILE,-,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,137
2019/01/01 00:00:00+00,31,I,F,233,LB616865,1,B9-000061,ADAMS,N 61,N 64,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,138
2019/01/01 00:00:00+00,31,I,F,233,LB616865,2,B9-000061,ADAMS,N 61,N 64,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,139
2019/01/02 00:00:00+00,55,W,F,715,LB618484,1,,NEBR HWY,S 27,-,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,140
2019/01/02 00:00:00+00,40,W,M,1255,LB618485,1,,K,S 16,-,2167,IMPROPER REGISTRATION,C,141
2019/01/02 00:00:00+00,29,W,M,1631,2019000042,1,,3400 N 27,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,142
2019/01/01 00:00:00+00,22,W,M,222,LB620158,1,B9-000051,S 10,N,M,2001,DUI/.08 1ST OFFENSE >.15,C,143
2019/01/01 00:00:00+00,22,W,M,222,LB620158,2,B9-000051,S 10,N,M,2112,NEGLIGENT DRIVING,C,144
2019/01/02 00:00:00+00,29,W,M,1527,LB618737,1,B9-000374,3400 N 27,-,-,11088,POSS CONTROLLED SUBSTANCE,B,145
2019/01/02 00:00:00+00,36,B,M,1355,LB594589,1,B9-000349,SALT CREEK,N ANTELOPE VALL,-,2112,NEGLIGENT DRIVING,C,146
2019/01/01 00:00:00+00,28,B,F,305,LB595768,1,B9-000053,N 12,Q,-,2001,DUI/.08 1ST OFFENSE >.15,C,147
2019/01/01 00:00:00+00,28,B,F,305,LB595768,2,B9-000053,N 12,Q,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,148
2019/01/01 00:00:00+00,28,B,F,305,LB595768,3,B9-000053,N 12,Q,-,2189,DISOBEY TRAFFIC CONTROL SIGN OR DEVICE,C,149
2019/01/02 00:00:00+00,29,W,M,1455,LB618738,1,B9-000365,3400 N 27,-,-,12309,THEFT BY SHOPLIFTING $0-$500,C,150
2019/01/01 00:00:00+00,44,W,F,1615,LB619231,1,B9-000175,4700 N 27,-,-,12309,THEFT BY SHOPLIFTING $0-$500,C,151
2019/01/03 00:00:00+00,49,W,F,1100,LB612567,1,,N 84,CORNHUSKER,FLETCHER,2167,IMPROPER REGISTRATION,C,152
2018/12/28 00:00:00+00,30,W,M,227,LB616387,2,B8-119609,S 27,GARFIELD,A,2205,IMPROPER RIGHT TURN,C,153
2018/12/30 00:00:00+00,33,B,F,42,LB613932,1,,SAUNDERS,N 11,N 14,2167,IMPROPER REGISTRATION,C,154
2019/01/01 00:00:00+00,39,B,M,1001,2019000011,1,,S 37,OTOE,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,155
2019/01/03 00:00:00+00,37,W,M,730,LB612565,1,,HOLDREGE,N 48,N 51,2167,IMPROPER REGISTRATION,C,156
2019/01/01 00:00:00+00,34,W,M,950,2019000010,1,,110 Q,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,157
2018/12/26 00:00:00+00,22,W,M,2245,LB607198,1,,N 41,BALDWIN,CLEVELAND,2167,IMPROPER REGISTRATION,C,158
2018/12/31 00:00:00+00,21,B,M,1909,LB602447,1,B8-120523,1900 BLK MONTCL,-,-,9026,"MURDER, 1ST DEGREE",B,159
2019/01/03 00:00:00+00,30,W,M,1702,LB607200,1,,VINE,N 81,RUSSWOOD,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,160
2018/12/31 00:00:00+00,21,B,M,1909,LB602447,2,B8-120523,1900 BLK MONTCL,-,-,11796,USE OF A DEADLY WEAPON TO COMMIT A FELONY,B,161
2019/01/03 00:00:00+00,30,W,M,1702,LB607200,2,,VINE,N 81,RUSSWOOD,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,162
2019/01/01 00:00:00+00,20,W,M,1243,LB607444,1,,SUPERIOR,N 14,N 27,2112,NEGLIGENT DRIVING,C,163
2019/01/02 00:00:00+00,22,U,M,2222,LB615636,1,,9,O,-,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,164
2019/01/01 00:00:00+00,20,W,M,1243,LB607444,2,,SUPERIOR,N 14,N 27,2167,IMPROPER REGISTRATION,C,165
2019/01/02 00:00:00+00,22,U,M,2222,LB615636,2,,9,O,-,2167,IMPROPER REGISTRATION,C,166
2019/01/01 00:00:00+00,26,W,M,1349,LB607445,1,B9-000135,I 80,CORNHUSKER,HWY 77,2112,NEGLIGENT DRIVING,C,167
2019/01/02 00:00:00+00,23,A,F,1950,LB615635,1,,S 21,K,-,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,168
2019/01/01 00:00:00+00,25,W,F,47,LB619427,1,,66,O,-,2167,IMPROPER REGISTRATION,C,169
2019/01/02 00:00:00+00,22,W,F,1643,LB619360,1,,VINE,N 40,N 37,1685,VIOLATE SPEED LIMIT 16 - 20 OVER,C,170
2019/01/01 00:00:00+00,25,W,F,54,LB617039,1,B9-000024,S 33,O,J,1898,"SUSPENDED LICENSE, ELIGIBLE",C,171
2019/01/02 00:00:00+00,53,B,F,1732,LB619361,1,,N 48,MADISON,HUNTINGTON,2167,IMPROPER REGISTRATION,C,172
2019/01/01 00:00:00+00,34,W,F,1406,LB619526,1,B9-000139,7021 WALKER,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,173
2019/01/01 00:00:00+00,50,W,F,655,LB495935,1,B9-000094,1435 D #5,-,-,11910,"DOMESTIC ASSAULT, 2ND DEG",B,174
2019/01/01 00:00:00+00,28,B,M,1114,2019000013,1,,3841 N 17,-,-,674,ARRESTED ON OUTSIDE AGENCY WARRANT-MSD,B,175
2019/01/01 00:00:00+00,50,A,F,1354,2019000016,1,,FIRESTATION 14,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,176
2018/12/31 00:00:00+00,37,W,M,1351,LB614451,1,B8-120437,S 70,SUMNER,A,2112,NEGLIGENT DRIVING,C,177
