AGE,RACE,SEX,VDAT,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
20,W,F,2021/01/04 00:00:00+00,1148,LP6900194,1,,48TH AND A ST,,,2167,IMPROPER REGISTRATION,C,127
33,W,F,2021/01/04 00:00:00+00,1218,LP6900195,1,,70TH AND L ST,,,2167,IMPROPER REGISTRATION,C,128
55,W,M,2021/01/04 00:00:00+00,1221,LQ3200052,1,,S27TH ST  N ST T,O C ST,,2167,IMPROPER REGISTRATION,C,129
43,W,M,2021/01/04 00:00:00+00,931,LQ3500056,1,C1-000842,521 W BELMONT,,,11907,DOMESTIC ASSAULT-3RD DEGREE,C,130
28,H,M,2021/01/04 00:00:00+00,1035,2021000050,1,,227 BELMONT,-,-,9996,ARRESTED ON COUNTY WARRANT-FEL,B,131
56,B,M,2021/01/03 00:00:00+00,1456,LB675232,1,C1-000695,N 33,MADISON,FAIR,1898,"SUSPENDED LICENSE, ELIGIBLE",C,132
26,W,F,2021/01/04 00:00:00+00,1326,LN3400171,1,,S. 10 / K TO L,,,2167,IMPROPER REGISTRATION,C,133
26,W,F,2021/01/04 00:00:00+00,1326,LN3400171,2,,S. 10 / K TO L,,,2229,OPERATE A MTR VEH W/O LICENSE ON PERSON,C,134
24,H,M,2020/12/31 00:00:00+00,2252,LO7400029,1,C0-119739,17TH AND K,,,1370,"DRIVING UNDER INFLUENCE, FIRST OFFENSE",C,135
24,H,M,2020/12/31 00:00:00+00,2252,LO7400029,2,C0-119739,17TH AND K,,,2112,NEGLIGENT DRIVING,C,136
28,W,M,2021/01/04 00:00:00+00,1249,LQ3200053,1,,O ST 27TH ST TO,22ND ST,,2167,IMPROPER REGISTRATION,C,137
49,B,M,2021/01/04 00:00:00+00,713,2021000048,1,,2820 N 49,-,-,676,ARRESTED ON COUNTY WARRANT-MSD,B,138
18,W,M,2021/01/01 00:00:00+00,2011,LP2900021,1,C1-000282,6601 PIONEERS BL,VD,,2120,POSSESS MARIJUANA 1 OZ OR LESS/1ST,C,139
30,W,M,2021/01/02 00:00:00+00,1517,LN7600024,1,C1-000447,927 S 14TH ST,,,12682,ASSAULT BY STRANGULATION OR SUFFOCATION,B,140
18,W,M,2021/01/05 00:00:00+00,849,LP7800032,1,C1-000858,YANKEE HILL RD A,ND WILDERNESS RI,DGE RD,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,141
44,W,F,2021/01/02 00:00:00+00,1546,2021000027,1,,5321 W ST PAUL,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,142
0,,,2021/01/01 00:00:00+00,22,XX2210017,1,C0-119740,1640 O,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,143
29,W,M,2021/01/02 00:00:00+00,1616,LN1202290,1,,O ST / 70TH-68TH,ST,,2167,IMPROPER REGISTRATION,C,144
0,,,2021/01/03 00:00:00+00,15,XX2210018,1,C1-000565,1640 O,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,145
71,W,M,2021/01/02 00:00:00+00,1551,LP3200036,1,C1-000462,,,,1342,FOLLOWING ANOTHER VEHICLE TOO CLOSELY,C,146
0,,,2020/12/31 00:00:00+00,25,XX2210019,1,C0-119740,1325 O,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,147
